item,name,description,type,category,subcategory,label,predicted_label,confidence,prob_cultural_agnostic,prob_cultural_representative,prob_cultural_exclusive,input_text
http://www.wikidata.org/entity/Q216153,A Bug's Life,1998 animated film directed by John Lasseter and Andrew Stanton,entity,comics and anime,animated film,cultural representative,cultural representative,0.7364658042788506,0.2110190186649561,0.7364658042788506,0.05251522362232208,Item: A Bug's Life. Description: 1998 animated film directed by John Lasseter and Andrew Stanton. Type: entity. Category: comics and anime. Subcategory: animated film.
http://www.wikidata.org/entity/Q593,A Gang Story,2011 film by Olivier Marchal,entity,films,film,cultural exclusive,cultural representative,0.5779998190701008,0.201792910695076,0.5779998190701008,0.220207286067307,Item: A Gang Story. Description: 2011 film by Olivier Marchal. Type: entity. Category: films. Subcategory: film.
http://www.wikidata.org/entity/Q192185,Aaron Copland,"American composer, composition teacher, writer, and conductor (1900-1990)",entity,performing arts,choreographer,cultural representative,cultural representative,0.9236097484827042,0.03832591837272048,0.9236097484827042,0.03806440671905875,"Item: Aaron Copland. Description: American composer, composition teacher, writer, and conductor (1900-1990). Type: entity. Category: performing arts. Subcategory: choreographer."
http://www.wikidata.org/entity/Q305718,abaya,"simple, loose over-garment wore by humans, especially Muslim women",concept,fashion,traditional costume,cultural representative,cultural representative,0.8885937333106995,0.057345906272530556,0.8885937333106995,0.05406039673835039,"Item: abaya. Description: simple, loose over-garment wore by humans, especially Muslim women. Type: concept. Category: fashion. Subcategory: traditional costume."
http://www.wikidata.org/entity/Q388170,African American literature,body of literature by Americans of African descent,entity,literature,literary genre,cultural representative,cultural representative,0.8722777217626572,0.07049331767484546,0.8722777217626572,0.057228988502174616,Item: African American literature. Description: body of literature by Americans of African descent. Type: entity. Category: literature. Subcategory: literary genre.
http://www.wikidata.org/entity/Q91717,alcazaba,type of fortress,concept,history,monument,cultural representative,cultural representative,0.3897001165896654,0.3177121779881418,0.3897001165896654,0.2925877161324024,Item: alcazaba. Description: type of fortress. Type: concept. Category: history. Subcategory: monument.
http://www.wikidata.org/entity/Q1453,Alexandra Stan,Romanian singer,entity,fashion,model,cultural representative,cultural representative,0.8914015293121338,0.02778554381802678,0.8914015293121338,0.08081291150301695,Item: Alexandra Stan. Description: Romanian singer. Type: entity. Category: fashion. Subcategory: model.
http://www.wikidata.org/entity/Q9570,Amitabh Bachchan,Indian film actor (born 1942),entity,books,writer,cultural representative,cultural representative,0.9186170846223831,0.038978290278464556,0.9186170846223831,0.042404656298458576,Item: Amitabh Bachchan. Description: Indian film actor (born 1942). Type: entity. Category: books. Subcategory: writer.
http://www.wikidata.org/entity/Q46392,Amjad Khan,Indian actor (1940-1992),entity,films,film director,cultural representative,cultural representative,0.9273588061332703,0.030636401381343603,0.9273588061332703,0.042004799004644156,Item: Amjad Khan. Description: Indian actor (1940-1992). Type: entity. Category: films. Subcategory: film director.
http://www.wikidata.org/entity/Q1107,anime,Japanese style of animation,concept,films,film genre,cultural representative,cultural representative,0.9219034314155579,0.038951818365603685,0.9219034314155579,0.03914477815851569,Item: anime. Description: Japanese style of animation. Type: concept. Category: films. Subcategory: film genre.
http://www.wikidata.org/entity/Q27585,AOL,American web portal and online service provider,entity,media,media company,cultural exclusive,cultural representative,0.8979305624961853,0.06188057269901037,0.8979305624961853,0.040188868064433336,Item: AOL. Description: American web portal and online service provider. Type: entity. Category: media. Subcategory: media company.
http://www.wikidata.org/entity/Q192150,apéritif,alcoholic drink normally served before a meal,concept,food,drink,cultural representative,cultural representative,0.6432572565972805,0.31135180965065956,0.6432572565972805,0.04539097240194678,Item: apéritif. Description: alcoholic drink normally served before a meal. Type: concept. Category: food. Subcategory: drink.
http://www.wikidata.org/entity/Q618238,Aperol,"Italian bitter apéritif made of gentian, rhubarb, and cinchona",entity,food,drink,cultural representative,cultural representative,0.9231665283441544,0.03718121629208326,0.9231665283441544,0.03965229261666536,"Item: Aperol. Description: Italian bitter apéritif made of gentian, rhubarb, and cinchona. Type: entity. Category: food. Subcategory: drink."
http://www.wikidata.org/entity/Q17045537,aragoto,boisterous masculine style of kabuki acting,concept,films,acting style,cultural exclusive,cultural representative,0.86057448387146,0.03479816531762481,0.86057448387146,0.10462737455964088,Item: aragoto. Description: boisterous masculine style of kabuki acting. Type: concept. Category: films. Subcategory: acting style.
http://www.wikidata.org/entity/Q552300,"Baa, Baa, Black Sheep",English nursery rhyme,entity,books,book,cultural exclusive,cultural representative,0.8503036201000214,0.03422012086957693,0.8503036201000214,0.11547624692320824,"Item: Baa, Baa, Black Sheep. Description: English nursery rhyme. Type: entity. Category: books. Subcategory: book."
http://www.wikidata.org/entity/Q6658,Bamboula,kind of drum,concept,performing arts,dance,cultural representative,cultural representative,0.8802024126052856,0.07153592444956303,0.8802024126052856,0.0482616787776351,Item: Bamboula. Description: kind of drum. Type: concept. Category: performing arts. Subcategory: dance.
http://www.wikidata.org/entity/Q489,Bill Maher,American stand-up comedian and television host,entity,films,film producer,cultural representative,cultural representative,0.918805330991745,0.040837375447154045,0.918805330991745,0.04035730939358473,Item: Bill Maher. Description: American stand-up comedian and television host. Type: entity. Category: films. Subcategory: film producer.
http://www.wikidata.org/entity/Q3641631,boho-chic,1990s fashion trend incorporating bohemian and hippie influences,concept,fashion,fashion trend,cultural representative,cultural representative,0.8447358310222626,0.11470781173557043,0.8447358310222626,0.04055635957047343,Item: boho-chic. Description: 1990s fashion trend incorporating bohemian and hippie influences. Type: concept. Category: fashion. Subcategory: fashion trend.
http://www.wikidata.org/entity/Q157906,Boomerang,American cable television channel,entity,media,streaming service,cultural exclusive,cultural representative,0.9063465148210526,0.04110540635883808,0.9063465148210526,0.05254807509481907,Item: Boomerang. Description: American cable television channel. Type: entity. Category: media. Subcategory: streaming service.
http://www.wikidata.org/entity/Q65997,Caliph,monarchical title based on claim to be a successor of Muhammad,concept,philosophy and religion,religious leader,cultural representative,cultural representative,0.8889703005552292,0.053108165971934795,0.8889703005552292,0.05792155396193266,Item: Caliph. Description: monarchical title based on claim to be a successor of Muhammad. Type: concept. Category: philosophy and religion. Subcategory: religious leader.
http://www.wikidata.org/entity/Q180449,carbatina,"shoe cut from a single piece of leather and secured with a lace, worn in Ancient Rome and later throughout Central Europe",concept,fashion,traditional costume,cultural representative,cultural representative,0.8377992063760757,0.09608173370361328,0.8377992063760757,0.06611910462379456,"Item: carbatina. Description: shoe cut from a single piece of leather and secured with a lace, worn in Ancient Rome and later throughout Central Europe. Type: concept. Category: fashion. Subcategory: traditional costume."
http://www.wikidata.org/entity/Q410,Carl Sagan,"American astrophysicist, cosmologist and author (1934–1996)",entity,books,writer,cultural representative,cultural representative,0.9173406213521957,0.04568768525496125,0.9173406213521957,0.03697173064574599,"Item: Carl Sagan. Description: American astrophysicist, cosmologist and author (1934–1996). Type: entity. Category: books. Subcategory: writer."
http://www.wikidata.org/entity/Q1604035,Choc Stars,Congolese soukous band,entity,music,musical group,cultural exclusive,cultural representative,0.6561419703066349,0.029951997101306915,0.6561419703066349,0.31390606611967087,Item: Choc Stars. Description: Congolese soukous band. Type: entity. Category: music. Subcategory: musical group.
http://www.wikidata.org/entity/Q506002,crosier,a staff resembling a shepherd's crook carried by bishops and abbots as a symbol of office ceremonial staff in Christianity,entity,fashion,clothing,cultural representative,cultural representative,0.7778693437576294,0.071333899628371,0.7778693437576294,0.1507967747747898,Item: crosier. Description: a staff resembling a shepherd's crook carried by bishops and abbots as a symbol of office ceremonial staff in Christianity. Type: entity. Category: fashion. Subcategory: clothing.
